"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
-0.0137,-0.0436,0.0217,-0.0144,0.0077,-0.0106,0.0095,0.0032,0.0037,3e-04,-0.001
0.0158,0.015,0.0304,-2e-04,0.0052,-0.0177,-0.0102,0.0029,-0.0074,-0.0022,-0.001
0.0301,0.0359,0.0227,-0.0242,0.0108,-0.0138,-0.0247,-0.0098,-0.001,0,-0.001
0.0419,0.0029,-0.002,0.0092,0.0117,-0.0071,-0.0033,-0.0018,0.0026,-0.0057,-0.001
-0.0368,-0.0039,-0.0188,-0.0028,-0.0171,0.0057,-0.0047,0.009,-6e-04,9e-04,-0.001
0.0419,-0.0242,0.0067,0.0087,0.0027,-0.0055,0.011,-0.0069,0.0026,9e-04,-0.001
-0.0119,0.0011,0.0298,0.0114,-0.0026,-0.0023,-0.0026,-0.0023,0.0045,-0.008,-0.001
-0.0129,-0.0207,0.0237,-0.0181,0.0052,0.0013,-0.0092,0.013,-0.0033,9e-04,-0.001
0.0296,-0.028,-0.0133,0.0134,0.0075,0.0078,0.0058,8e-04,0.0035,0.0021,-0.001
-0.0234,-0.0012,0.0199,0.0034,-0.0044,0.002,-0.0131,-0.0054,-0.0028,0.0013,-0.001
-0.0189,-0.0061,-0.0239,0.0025,-0.0124,-8e-04,0.0154,-0.0013,-0.0065,0,-0.001
0.0296,-0.0067,-0.0091,-0.0202,0.0048,-0.0051,-0.0094,-0.0097,-0.0033,-0.0022,-0.001
-0.0393,2e-04,-0.0345,-0.0045,-0.0234,-0.0104,0.0018,0.0077,-0.0071,0.0021,-0.001
0,-0.0025,0.0115,0.0166,-0.0079,0.0085,-6e-04,-0.0039,0.0022,-0.0022,-0.001
0.0602,-0.018,0.0145,0.0144,-0.0131,-0.0261,-0.0021,5e-04,-0.0072,-0.0022,-0.001
-0.0117,0.0048,-0.0089,-0.0083,0.0137,4e-04,-0.0213,0.006,-0.0139,-1e-04,-0.001
0.0299,-0.0126,0.0191,0.0041,-0.0165,-0.0033,-0.0032,-0.0011,-0.0109,-0.0054,-0.001
-0.0566,-0.0164,-0.0161,0.0092,-0.0044,0.0115,-0.0121,-0.0061,0.0011,-1e-04,-0.001
-0.0285,0.0157,-0.0222,-0.0048,-0.0106,0.0025,0.0067,0.0052,0.003,0.0021,-0.001
-0.0234,0.0154,-0.0175,-0.0046,0.0043,-0.0025,0.0075,0.0046,0.0081,-0.0057,-0.001
0.0296,0.0154,-0.0347,-0.0142,0.0219,-0.0021,0.0048,-0.0014,-0.0068,0,-0.001
0.0165,0.0278,0.0146,0.0129,0.0119,-0.0061,-0.0081,-2e-04,-0.005,9e-04,-0.001
-0.0393,-0.0207,0.0109,0.0122,0.0108,0.0122,-0.0243,0.0094,1e-04,-0.0057,-0.001
-0.0189,0.0023,-0.0133,0.0062,0.0056,0.0122,-0.0094,0.0037,-0.005,0.0013,-0.001
-0.0014,-0.0166,0.0212,0.0014,-0.0136,-0.01,0.0087,0.0032,0.0035,-0.002,-0.001
-0.0077,-0.0195,-0.0044,-0.0058,-0.001,0.0134,0.019,-0.0055,0.0103,0.0021,-0.001
-0.0117,-0.0083,0.0237,-0.0041,0.0082,-0.0043,-0.0078,-0.0066,0.0011,-0.002,-0.001
0.048,0.0079,-0.0097,-0.0098,-6e-04,-0.0024,-0.0017,0.0041,0.0027,-0.002,-0.001
-0.0031,0.0034,-0.0336,-0.021,-0.0098,-0.0261,0.0068,0.0051,-8e-04,0.0013,-0.001
0,0.0023,-0.0023,-0.0075,0.001,0.0107,-0.0042,0.0052,0.0013,0.0062,-0.001
0.0296,-0.0331,0.0132,-0.0025,-0.0019,-0.0063,-0.0074,-0.0065,0.0095,0,-0.001
0.0158,0.0156,-0.0048,0.0123,-0.0286,0.0045,-0.0071,-0.012,-0.001,-0.008,-0.001
